,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51451,75.0,Paris,1,1ere circonscription,56,Paris,101.0,1079,214,"19,83",865,"80,17",52,"4,82","6,01",20,"1,85","2,31",793,"73,49","91,68",1,M,MACRON,Emmanuel,697,"64,6","87,89",2,F,LE PEN,Marine,96,"8,9","12,11"
51452,75.0,Paris,1,1ere circonscription,56,Paris,102.0,1172,230,"19,62",942,"80,38",40,"3,41","4,25",10,"0,85","1,06",892,"76,11","94,69",1,M,MACRON,Emmanuel,806,"68,77","90,36",2,F,LE PEN,Marine,86,"7,34","9,64"
51453,75.0,Paris,1,1ere circonscription,56,Paris,103.0,1155,235,"20,35",920,"79,65",46,"3,98",5,21,"1,82","2,28",853,"73,85","92,72",1,M,MACRON,Emmanuel,756,"65,45","88,63",2,F,LE PEN,Marine,97,"8,4","11,37"
51454,75.0,Paris,1,1ere circonscription,56,Paris,104.0,1300,266,"20,46",1034,"79,54",69,"5,31","6,67",21,"1,62","2,03",944,"72,62","91,3",1,M,MACRON,Emmanuel,833,"64,08","88,24",2,F,LE PEN,Marine,111,"8,54","11,76"
51455,75.0,Paris,1,1ere circonscription,56,Paris,105.0,1057,198,"18,73",859,"81,27",33,"3,12","3,84",8,"0,76","0,93",818,"77,39","95,23",1,M,MACRON,Emmanuel,741,"70,1","90,59",2,F,LE PEN,Marine,77,"7,28","9,41"
51456,75.0,Paris,1,1ere circonscription,56,Paris,106.0,1191,259,"21,75",932,"78,25",49,"4,11","5,26",8,"0,67","0,86",875,"73,47","93,88",1,M,MACRON,Emmanuel,792,"66,5","90,51",2,F,LE PEN,Marine,83,"6,97","9,49"
51457,75.0,Paris,1,1ere circonscription,56,Paris,107.0,1082,182,"16,82",900,"83,18",49,"4,53","5,44",12,"1,11","1,33",839,"77,54","93,22",1,M,MACRON,Emmanuel,754,"69,69","89,87",2,F,LE PEN,Marine,85,"7,86","10,13"
51458,75.0,Paris,1,1ere circonscription,56,Paris,108.0,924,221,"23,92",703,"76,08",30,"3,25","4,27",14,"1,52","1,99",659,"71,32","93,74",1,M,MACRON,Emmanuel,575,"62,23","87,25",2,F,LE PEN,Marine,84,"9,09","12,75"
51459,75.0,Paris,1,1ere circonscription,56,Paris,109.0,956,190,"19,87",766,"80,13",51,"5,33","6,66",13,"1,36","1,7",702,"73,43","91,64",1,M,MACRON,Emmanuel,619,"64,75","88,18",2,F,LE PEN,Marine,83,"8,68","11,82"
51460,75.0,Paris,1,1ere circonscription,56,Paris,110.0,858,181,"21,1",677,"78,9",36,"4,2","5,32",14,"1,63","2,07",627,"73,08","92,61",1,M,MACRON,Emmanuel,553,"64,45","88,2",2,F,LE PEN,Marine,74,"8,62","11,8"
51461,75.0,Paris,1,1ere circonscription,56,Paris,201.0,1153,214,"18,56",939,"81,44",38,"3,3","4,05",6,"0,52","0,64",895,"77,62","95,31",1,M,MACRON,Emmanuel,820,"71,12","91,62",2,F,LE PEN,Marine,75,"6,5","8,38"
51462,75.0,Paris,1,1ere circonscription,56,Paris,202.0,988,198,"20,04",790,"79,96",40,"4,05","5,06",6,"0,61","0,76",744,"75,3","94,18",1,M,MACRON,Emmanuel,680,"68,83","91,4",2,F,LE PEN,Marine,64,"6,48","8,6"
