,Libelle de la circonscription,Code du departement,Libelle du departement,Code de la circonscription,Nom1,Prenom1,Nom2,Prenom2,Inscrits,Abstentions,Votants,Exprimes,Voix1,Voix2,Blancs/Nuls,Bord1,Bord2,Annee,Tour
0,10eme circonscription,75.0,Paris,10,MACRON,Emmanuel,LE PEN,Marine,69843,19180,50663,46827,38608,8219,3836,C,EXD,2022,2
1,11eme circonscription,75.0,Paris,11,MACRON,Emmanuel,LE PEN,Marine,72863,16288,56575,53095,45892,7203,3480,C,EXD,2022,2
2,12eme circonscription,75.0,Paris,12,MACRON,Emmanuel,LE PEN,Marine,76542,17350,59192,55827,46118,9709,3365,C,EXD,2022,2
3,13eme circonscription,75.0,Paris,13,MACRON,Emmanuel,LE PEN,Marine,77857,19324,58533,54845,44885,9960,3688,C,EXD,2022,2
4,14eme circonscription,75.0,Paris,14,MACRON,Emmanuel,LE PEN,Marine,75794,17762,58032,55069,45015,10054,2963,C,EXD,2022,2
5,15eme circonscription,75.0,Paris,15,MACRON,Emmanuel,LE PEN,Marine,78675,23817,54858,50683,43237,7446,4175,C,EXD,2022,2
6,16eme circonscription,75.0,Paris,16,MACRON,Emmanuel,LE PEN,Marine,74530,24576,49954,46298,39835,6463,3656,C,EXD,2022,2
7,17eme circonscription,75.0,Paris,17,MACRON,Emmanuel,LE PEN,Marine,61714,22155,39559,36523,31197,5326,3036,C,EXD,2022,2
8,18eme circonscription,75.0,Paris,18,MACRON,Emmanuel,LE PEN,Marine,70103,17627,52476,49365,43601,5764,3111,C,EXD,2022,2
9,1ere circonscription,75.0,Paris,1,MACRON,Emmanuel,LE PEN,Marine,97845,22300,75545,71529,59970,11559,4016,C,EXD,2022,2
10,2eme circonscription,75.0,Paris,2,MACRON,Emmanuel,LE PEN,Marine,74596,16087,58509,55407,47316,8091,3102,C,EXD,2022,2
11,3eme circonscription,75.0,Paris,3,MACRON,Emmanuel,LE PEN,Marine,71247,18280,52967,49769,42871,6898,3198,C,EXD,2022,2
12,4eme circonscription,75.0,Paris,4,MACRON,Emmanuel,LE PEN,Marine,74053,18036,56017,52194,43496,8698,3823,C,EXD,2022,2
13,5eme circonscription,75.0,Paris,5,MACRON,Emmanuel,LE PEN,Marine,78791,19383,59408,56227,50321,5906,3181,C,EXD,2022,2
14,6eme circonscription,75.0,Paris,6,MACRON,Emmanuel,LE PEN,Marine,80342,21774,58568,54620,48415,6205,3948,C,EXD,2022,2
15,7eme circonscription,75.0,Paris,7,MACRON,Emmanuel,LE PEN,Marine,79577,18396,61181,57780,51285,6495,3401,C,EXD,2022,2
16,8eme circonscription,75.0,Paris,8,MACRON,Emmanuel,LE PEN,Marine,83884,22475,61409,56877,47743,9134,4532,C,EXD,2022,2
17,9eme circonscription,75.0,Paris,9,MACRON,Emmanuel,LE PEN,Marine,70367,19684,50683,46577,38302,8275,4106,C,EXD,2022,2
