,Libelle de la circonscription,Code du departement,Libelle du departement,Code de la circonscription,Nom1,Prenom1,Nom2,Prenom2,Inscrits,Abstentions,Votants,Exprimes,Voix1,Voix2,Blancs/Nuls,Bord1,Bord2,Annee,Tour
0,10eme circonscription,75.0,Paris,10,MACRON,Emmanuel,LE PEN,Marine,67298,15004,52294,48146,42179,5967,4148,C,EXD,2017,2
1,11eme circonscription,75.0,Paris,11,MACRON,Emmanuel,LE PEN,Marine,70971,13292,57679,53652,48699,4953,4027,C,EXD,2017,2
2,12eme circonscription,75.0,Paris,12,MACRON,Emmanuel,LE PEN,Marine,73928,14566,59362,54686,48030,6656,4676,C,EXD,2017,2
3,13eme circonscription,75.0,Paris,13,MACRON,Emmanuel,LE PEN,Marine,75334,16013,59321,54422,47424,6998,4899,C,EXD,2017,2
4,14eme circonscription,75.0,Paris,14,MACRON,Emmanuel,LE PEN,Marine,72310,15790,56520,51903,45235,6668,4617,C,EXD,2017,2
5,15eme circonscription,75.0,Paris,15,MACRON,Emmanuel,LE PEN,Marine,76201,18627,57574,53136,47540,5596,4438,C,EXD,2017,2
6,16eme circonscription,75.0,Paris,16,MACRON,Emmanuel,LE PEN,Marine,70313,17851,52462,48616,43959,4657,3846,C,EXD,2017,2
7,17eme circonscription,75.0,Paris,17,MACRON,Emmanuel,LE PEN,Marine,58156,16011,42145,39008,34951,4057,3137,C,EXD,2017,2
8,18eme circonscription,75.0,Paris,18,MACRON,Emmanuel,LE PEN,Marine,67244,14365,52879,49350,45123,4227,3529,C,EXD,2017,2
9,1ere circonscription,75.0,Paris,1,MACRON,Emmanuel,LE PEN,Marine,80749,15668,65081,61031,55424,5607,4050,C,EXD,2017,2
10,2eme circonscription,75.0,Paris,2,MACRON,Emmanuel,LE PEN,Marine,71725,13454,58271,53943,48371,5572,4328,C,EXD,2017,2
11,3eme circonscription,75.0,Paris,3,MACRON,Emmanuel,LE PEN,Marine,68661,14908,53753,50005,44933,5072,3748,C,EXD,2017,2
12,4eme circonscription,75.0,Paris,4,MACRON,Emmanuel,LE PEN,Marine,69696,15070,54626,50565,44667,5898,4061,C,EXD,2017,2
13,5eme circonscription,75.0,Paris,5,MACRON,Emmanuel,LE PEN,Marine,75857,15126,60731,57110,52983,4127,3621,C,EXD,2017,2
14,6eme circonscription,75.0,Paris,6,MACRON,Emmanuel,LE PEN,Marine,76595,16644,59951,55762,51375,4387,4189,C,EXD,2017,2
15,7eme circonscription,75.0,Paris,7,MACRON,Emmanuel,LE PEN,Marine,76035,14533,61502,57686,53151,4535,3816,C,EXD,2017,2
16,8eme circonscription,75.0,Paris,8,MACRON,Emmanuel,LE PEN,Marine,82129,17771,64358,59326,52534,6792,5032,C,EXD,2017,2
17,9eme circonscription,75.0,Paris,9,MACRON,Emmanuel,LE PEN,Marine,68335,15205,53130,48680,42679,6001,4450,C,EXD,2017,2
