id_circonscription,population_totale,age_moyen,taux_emploi,taux_chomage,taux_cadres,taux_ouvriers,taux_diplomes_sup,taux_peu_diplomes,taux_pauvrete,taux_proprietaires
1,123748,39.1,55.5,5.5,52.6,4.8,55.9,7.5,11.0,36.6
2,113620,42.2,47.4,4.6,53.7,3.9,58.2,6.5,10.2,36.3
3,119990,38.1,53.1,7.1,45.4,6.9,46.5,10.2,17.3,31.9
4,119750,41.6,47.8,5.1,49.5,4.8,52.9,9.5,11.3,39.6
5,120497,38.3,54.4,7.0,49.0,5.6,49.9,9.2,15.4,35.7
6,129746,39.6,52.1,7.3,43.9,7.4,43.5,10.2,18.1,31.4
7,119888,39.8,54.9,6.5,49.9,4.7,51.3,7.1,12.7,33.7
8,128531,41.0,49.6,6.0,43.9,6.4,42.7,9.2,13.7,29.8
9,114492,40.8,47.1,6.7,39.3,8.4,39.6,12.9,16.5,24.8
10,113230,40.1,46.4,6.5,43.6,6.4,44.2,10.8,16.0,28.4
11,110546,41.5,48.0,5.2,52.6,4.7,54.8,7.4,10.7,36.4
12,116151,41.0,49.8,4.7,54.4,3.9,56.6,6.3,10.8,35.3
13,125957,40.4,48.8,5.5,48.5,5.4,48.9,8.1,12.3,31.4
14,124480,42.9,44.4,4.6,49.6,4.4,53.4,8.8,10.8,45.2
15,130465,39.7,47.7,7.9,36.5,9.2,34.6,13.0,19.9,28.5
16,126060,38.5,46.1,8.2,35.3,9.8,34.0,15.3,20.6,28.0
17,112550,38.2,46.3,8.4,30.7,12.3,29.7,18.3,26.5,25.8
18,115722,38.7,55.1,6.6,46.9,6.7,47.2,8.9,16.3,36.5
